	786_0	A498	A549_ATCC	ACHN	BT_549	CAKI_1	CCRF_CEM	COLO_205	DU_145	EKVX	HCC_2998	HCT_116	HCT_15	HL_60_TB	HOP_62	HOP_92	HS_578T	HT29	IGROV1	KM12	K_562	LOX_IMVI	M14	MALME_3M	MCF7	MDA_MB_231_ATCC	MDA_MB_435	MDA_N	MOLT_4	NCI_ADR_RES	NCI_H226	NCI_H23	NCI_H322M	NCI_H460	NCI_H522	OVCAR_3	OVCAR_4	OVCAR_5	OVCAR_8	PC_3	RPMI_8226	RXF_393	SF_268	SF_295	SF_539	SK_MEL_2	SK_MEL_28	SK_MEL_5	SK_OV_3	SN12C	SNB_19	SNB_75	SR	SW_620	TK_10	T_47D	U251	UACC_257	UACC_62	UO_31
LOC643277 /// LOC647784	1.22994	0.892651	0.836957	1.08565	1.15594	1.09272	0.97635	1.86853	0.876795	1.02243	1.23376	1.29994	1.13354	1.15351	0.82866	0.827369	0.790285	1.73239	1.06967	1.30707	1.07041	0.948413	0.673021	0.808886	2.52127	0.642465	1.10992	0.62941	1.01368	0.645422	0.501059	0.838219	1.87703	0.870989	0.802774	0.702431	1.01242	1.10789	0.828015	0.683947	1.1209	0.869818	1.00647	1.0086	0.596597	1.53224	0.820858	0.79796	1.08565	0.574031	1.11992	0.624282	0.607455	0.800717	0.97174	3.20685	0.978181	1.06371	1.07918	1.0835
FLJ43663	2.23942	2.45843	2.30893	2.45173	2.68578	2.18735	1.13672	1.75028	2.57567	2.11444	2.64156	2.26107	2.5025	2.20949	2.44067	2.7898	2.33419	2.43409	2.13446	2.14201	0.867467	2.19226	2.38853	2.5576	1.6886	2.93924	2.48783	2.96287	1.92701	2.98242	2.82589	2.88353	2.38637	2.58851	2.4662	1.27967	2.5702	2.8961	2.8676	2.79573	2.13574	2.55878	2.56278	2.41194	2.52587	2.90218	2.79299	2.63377	2.34978	2.56422	2.52097	2.72757	2.4663	2.52368	2.81168	1.73783	2.15269	2.40577	2.03455	2.90752
LOC400768	0.240549	0.844477	1.60724	1.28285	1.45984	0.212188	1.29842	1.29491	1.41296	0.816904	1.27646	1.43648	1.54307	1.6852	0.764923	0.939519	1.4442	1.43473	1.33806	1.54986	2.11428	0.849419	1.65543	1.54208	1.91698	1.47319	0.52763	1.30899	0.499687	0.843233	1.55121	1.29115	1.39655	1.5832	1.50379	0.544068	1.32098	1.11893	1.42111	1.09307	1.32695	0.698101	0.501059	1.52724	1.48515	1.71003	0.460898	0.414973	0.883661	1.63719	1.76708	1.45591	0.526339	1.6682	0.90309	1.58286	0.972203	1.57761	1.28959	0.864511
ZNF397	1.81023	0.669317	1.10924	1.23274	0.881955	1.59868	1.9144	1.2824	1.68196	1.72526	1.63979	1.80393	1.73791	2.0661	0.790285	1.06819	0.448706	1.47056	1.79064	1.3075	1.36773	0.633468	1.66894	1.1784	1.5617	0.79796	0.755875	1.21722	1.80814	1.03941	0.298853	1.44326	1.34044	0.541579	1.24005	0.572872	0.879669	0.754348	1.27091	1.1089	1.09307	0.97174	0.821514	0.501059	0.839478	0.915927	0.71265	1.344	1.69108	0.752048	0.919601	0.639486	0.619093	0.579784	1.63165	1.2335	0.657056	0.963788	1.17406	0.803457
CBLN1	1.24105	1.67934	1.34025	1.73536	1.21378	1.10037	1.5978	1.74115	1.67006	1.46195	1.67247	1.79393	1.10924	1.05729	0.881955	1.88722	0.64836	1.47422	0.837588	1.09795	1.41979	1.33082	1.3298	1.77539	1.18949	1.66332	0.399674	1.20602	0.993436	1.33345	0.883093	1.1284	1.16643	1.54568	1.26007	1.10278	1.50147	1.89332	1.22608	1.67348	1.74445	0.58995	1.34223	1.50338	0.676694	1.59923	1.39023	1.48968	1.10517	1.63548	1.14333	1.08063	1.50106	0.672098	1.41145	0.612784	0.638489	1.87303	1.43265	0.739572
LOC441061	1.79803	1.9527	1.16967	1.40637	1.41929	1.02938	1.20358	1.62603	1.35717	1.77685	1.50664	1.15351	0.719331	1.91471	0.892651	1.76485	0.941014	1.01953	1.70346	2.09923	1.08991	0.904716	1.66276	1.36211	1.03782	1.35564	0.925828	1.23147	0.839478	1.63949	1.12418	1.40654	1.6766	1.1878	0.79796	0.922206	1.07004	0.828015	1.07335	1.40192	1.05729	0.933993	1.74359	1.36097	1.30168	1.49206	0.844477	1.70114	1.72965	1.87812	1.83072	1.41847	1.09795	1.80564	1.1116	0.720986	0.658011	1.3006	1.46374	1.80976
C18ORF45	1.17754	0.843855	0.808211	1.01912	1.34908	1.17231	0.962843	1.0249	1.08063	1.00561	0.964731	1.031	0.898725	1.34439	0.818226	1.36059	1.32077	1.36192	0.771587	1.19645	0.755875	0.977266	2.26691	1.32715	1.40278	1.41027	1.19061	1.61679	1.00732	0.998259	1.02653	0.671173	0.775246	1.031	0.932981	1.27138	1.04532	1.21696	1.0187	0.91698	2.21762	1.11528	1.00732	1.10243	0.94939	1.25935	2.18219	1.06258	1.13545	0.901458	1.17638	0.89098	0.919078	1.56902	1.09587	1.23502	1.18241	2.05423	0.897627	0.887617
HPS1	2.07864	2.11099	1.89933	2.10072	1.12222	2.19524	1.76178	1.71282	1.61321	1.81803	1.34713	1.94443	1.64523	1.32015	1.14644	1.88321	1.4387	1.9489	1.59879	1.08099	1.9059	1.53757	1.58928	0.843855	2.03379	1.53186	1.73472	1.76945	1.77137	1.91976	1.17202	1.04922	1.96839	1.14582	2.10054	1.70044	1.1116	1.3485	1.07225	2.02833	1.18013	1.97345	1.69338	1.61878	1.28892	1.96313	1.57078	1.74225	1.29026	1.59207	1.81928	1.61077	1.8101	1.49276	2.03379	1.83525	1.59901	1.94988	0.955207	1.10209
FLJ44342	1.88874	2.04805	2.09618	1.45939	2.0235	1.79616	0.925312	1.93125	1.61426	1.98159	1.35372	2.2852	2.04926	1.99726	1.90298	1.19089	1.39915	1.922	2.11177	1.73815	1.62716	1.72346	1.50556	2.13271	1.22479	2.18808	1.01494	1.97644	1.65677	2.04782	1.85751	1.2413	1.89115	1.5563	1.97243	1.15076	1.60981	2.10408	1.36698	1.51534	1.85479	1.4901	2.01161	1.92891	1.29907	1.09691	2.02465	2.16985	1.39498	1.28937	2.01389	1.96388	1.39041	1.92742	1.98032	1.13033	1.61868	1.87437	1.91603	1.24105
TFG	0.755112	0.617	1.38668	0.978637	1.47842	0.605305	1.65581	1.31827	1.60788	1.09795	1.53033	1.52569	1.76701	1.74927	1.27346	1.4685	1.36549	1.44107	1.46255	1.40192	1.22453	1.26576	1.6013	1.44248	0.952308	1.68224	0.786041	1.23553	1.5945	0.919601	1.4979	1.41027	1.09552	1.90477	0.737987	0.70757	1.58365	1.57171	0.753583	1.53757	0.638489	1.01326	1.45818	1.2465	1.63195	1.23019	0.677607	0.761928	1.81198	1.35468	1.36791	1.91598	1.38346	1.61172	0.982271	1.2927	1.52673	1.51068	1.4606	1.84298
ARHGEF7	1.09795	1.02653	1.05077	1.66876	1.67191	1.58939	1.13513	1.00817	0.901458	1.23629	1.10037	1.78154	0.647383	1.44747	1.0187	1.4618	1.50529	0.511883	1.19396	0.854306	1.15381	1.55678	1.13258	1.89371	1.73384	1.67284	0.684845	1.03019	1.67897	1.71983	1.01703	1.51481	1.60991	1.3251	0.795185	1.02694	1.42586	1.21643	1.64128	1.52088	1.71492	1.42357	0.986772	0.975432	1.33001	1.70062	1.48643	1.62665	1.7155	1.38256	1.66314	0.715167	1.45408	1.64464	1.24969	1.09167	1.7464	1.78254	1.47885	0.87564
CCDC120	1.5799	1.05881	1.18384	1.05994	1.04689	1.61815	1.49582	1.62972	1.38292	0.935507	1.77444	1.10653	1.98909	0.895975	0.860937	1.05843	0.585461	2.14123	1.76373	1.70612	0.909021	0.451786	1.65196	0.628389	1.15746	1.62387	0.778874	0.781037	1.16316	0.708421	1.61542	1.9524	1.55703	0.764923	1.4456	1.4239	1.25503	1.00689	1.83512	0.689309	1.32818	0.989895	1.68485	0.622214	0.556303	0.898176	0.887054	1.11059	0.845718	2.12294	1.0892	1.26998	0.766413	1.99171	1.59106	1.61023	0.799341	1.01662	0.710963	0.940018
TOP1	1.6468	1.19756	1.8996	1.65418	2.01212	1.40054	2.00911	0.992554	1.88638	1.09726	1.22737	1.90607	1.90563	2.07562	1.66773	1.76871	1.43712	1.91819	1.80325	0.933993	1.74147	0.804821	1.91698	0.933487	1.86835	1.99383	1.2833	1.68043	1.83563	1.62138	1.91286	1.97387	2.15174	1.07591	0.89098	1.37236	1.67852	2.07496	2.07653	1.87576	1.8732	1.42716	1.80726	1.82885	1.81265	1.46434	0.717671	1.35064	1.1878	1.50297	1.87645	1.71366	2.00113	1.89265	1.09552	1.1313	1.9696	1.26623	1.76462	1.70398
ZNF193	2.17987	1.77254	1.98426	1.25744	2.14903	1.35238	1.50297	1.46449	1.96548	2.02514	0.778874	1.76938	1.83544	1.6507	1.95085	1.46404	1.84036	0.832509	1.9752	1.30578	2.15543	2.01465	1.15442	1.71172	2.25563	2.36916	1.90757	0.943	1.20763	1.94993	1.87887	1.93847	0.827369	1.39777	2.15622	1.44467	2.17886	1.33001	1.97058	1.98376	1.93404	1.67979	1.55473	1.04805	1.98892	1.83321	1.29973	1.75641	1.39111	2.15204	1.96581	1.31973	2.01161	1.91519	1.84105	2.07609	1.37912	1.92865	1.18837	1.94807
C6ORF52	1.37894	1.21005	2.08468	1.67459	0.863323	0.958564	1.44731	0.710117	1.04218	0.905256	1.83866	1.59351	1.21617	1.87674	1.99669	1.29579	1.07408	0.784617	0.853698	1.07591	2.04794	2.0607	1.29579	0.966142	2.1417	2.69634	1.35698	0.847573	1.71883	1.2383	0.982723	0.883093	1.55255	1.30233	0.863917	1.06408	1.6816	1.35793	1.43072	1.0216	0.915927	0.946452	1.5311	0.974512	0.908485	1.0103	0.673021	0.946452	1.62849	0.979093	1.62149	1.05652	1.00217	0.965202	1.11025	1.08565	1.07518	1.03543	1.53933	1.00732
AFF4	1.62961	1.06145	1.34772	1.39655	1.18865	1.79127	1.41464	1.43185	1.39759	0.826075	0.578639	0.725912	1.51268	1.01536	1.87052	1.73062	1.66106	1.39724	1.56074	1.4501	1.65147	1.53122	1.37694	0.992111	1.61606	1.55047	1.794	1.90064	0.559907	1.71792	1.59934	1.52479	0.972666	0.790285	1.7577	1.64689	1.64473	0.736397	0.909021	1.19424	1.08279	1.45362	1.2572	1.03623	1.41481	1.48144	1.6902	1.0892	1.60595	1.00945	1.8179	1.53275	1.2235	1.68878	1.11959	1.80305	1.77166	1.52205	1.31408	1.15564
PCDHB6	0.392697	0.61066	1.63829	1.35257	0.164353	1.45606	0.255273	1.26764	1.9309	1.1232	1.40019	1.08422	1.3638	1.29557	1.47436	1.24724	1.65263	1.56773	1.29026	1.65562	0.933487	2.44179	1.29535	1.06893	1.68341	1.24846	2.04933	2.42062	1.35392	1.17348	1.41179	1.71542	0.993436	1.65982	1.29226	1.2003	1.42894	1.37365	1.46255	1.23855	1.31702	1.29292	1.43917	1.28149	1.41044	1.69487	1.42781	0.979548	0.664642	2.15023	1.44514	1.25455	1.04999	1.28556	1.54851	2.05446	1.38881	1.25431	2.52856	0.97359
SMAD3	2.20666	2.25132	2.79605	2.58682	2.00462	2.26689	1.0086	1.87835	2.16262	2.15363	2.00514	1.80781	1.887	1.12905	2.46826	2.45675	2.12516	2.67198	2.24569	0.966611	1.92273	1.61215	2.05046	1.82151	1.88564	1.90135	1.57772	1.7145	1.24304	2.17234	2.75983	2.4827	2.71451	2.05934	1.00817	2.0057	2.32164	2.87259	2.39973	2.33403	1.81478	2.79617	2.36999	2.22139	2.24017	2.07262	2.09642	1.39428	2.32054	2.16495	2.17826	2.2397	2.06651	2.17164	1.37107	1.67062	2.31831	1.97891	2.08604	2.54398
NDUFV2	0.993436	1.25479	1.50596	1.15746	1.25983	1.45439	1.2403	0.296665	0.866878	1.53618	0.946452	0.618048	1.46195	0.675778	1.39498	0.962843	0.940018	1.19229	0.898176	0.632457	1.01995	0.993436	1.65379	0.790285	1.79893	1.37749	0.691965	0.945961	1.58636	0.556303	1.26482	0.838849	0.838849	0.756636	1.11193	1.59846	0.596597	0.891537	1.31869	0.673942	1.67788	0.773055	1.72876	1.31175	0.979548	1.54456	0.997823	1.03941	1.33284	0.974512	1.11661	0.61066	0.70927	0.740363	1.61616	1.2572	1.4679	1.03181	1.2833	0.510545
SCARF2	0.694605	1.37107	0.491362	2.11261	1.06221	0.544068	0.721811	0.278754	0.367356	0.431364	0.708421	0.62941	1.58838	0.868056	0.775974	0.748188	0.472756	0.981366	0.459392	0.70927	1.77931	0.453318	0.439333	0.361728	1.79657	1.03141	0.460898	1.08243	0.409933	0.502427	0.60206	0.340444	0.466868	0.526339	1.55291	0.511883	0.416641	0.478566	0.986324	0.96708	0.984527	1.64621	1.80106	0.399674	0.656098	0.342423	1.42095	1.59945	1.64483	1.16495	1.00043	0.380211	0.577492	1.17114	0.618048	0.426511	1.33566	1.12385	0.521138	1.75012
ATP8B3	1.36021	1.89845	1.10003	1.4504	1.80188	0.824126	1.2159	0.875061	1.52375	2.12743	1.11059	1.26694	1.86823	1.1186	1.3216	1.22298	1.12646	1.77342	1.15594	1.51228	1.71307	0.565848	0.957128	0.71433	2.02608	1.69258	0.946452	1.33526	1.35679	1.36324	1.79449	0.963788	1.15866	2.03751	1.27738	1.74943	1.70731	1.87122	1.07846	1.09899	1.30406	1.90634	1.26505	1.03703	0.705008	1.30341	0.992995	1.43441	1.42765	0.680336	0.814248	0.742725	1.70509	1.48515	1.0249	1.0249	0.925828	1.66124	1.28126	0.963788
GALNTL2	1.55303	0.943495	0.869818	1.22167	1.53352	1.14239	0.613842	1.09517	1.4283	1.72665	1.51255	1.6733	1.69434	1.05767	1.00346	1.47129	0.603144	0.997823	0.916454	1.68502	1.4062	1.2307	1.3831	0.209515	1.59295	1.10243	0.575188	1.47857	1.28126	0.939519	1.11461	1.59095	1.39041	1.03743	1.2383	1.12743	0.587711	0.547775	0.586587	0.979548	0.934498	1.15534	1.32469	0.960946	1.11893	0.876795	1.18977	0.750508	1.11261	1.03019	1.28601	1.77026	1.18412	1.11628	0.755112	0.7348	1.36717	0.644439	1.7328	1.06558
UQCRC2	0.856124	1.26951	1.27184	1.74028	0.753583	1.59318	0.849419	1.6113	1.64434	1.2907	0.913284	1.52466	1.03543	1.90097	1.09899	0.946452	1.51055	0.979548	1.51865	1.02119	1.6695	1.67724	1.38686	1.4183	1.89867	1.49568	1.09726	1.07078	0.758912	1.95837	1.58309	1.42488	1.4128	0.555094	1.50529	1.44731	1.80754	0.982271	1.18184	1.64631	1.43838	1.55895	1.49485	1.65128	1.61993	1.80618	1.07078	1.65725	2.02305	1.56478	1.72329	0.705864	1.37603	0.604226	1.87506	1.81451	0.40654	1.5458	1.13609	1.46509
MKX	0.948902	0.938019	0.661813	0.170262	1.27944	1.19229	1.1878	0.764176	0.958086	0.808886	0.802089	2.06228	1.64217	1.26998	1.09342	0.982271	1.20683	-0.0457575	0.30103	1.46687	0.677607	1.0187	-0.107905	0.502427	0.710963	1.44963	0.503791	0.600973	0.565848	1.46494	1.18752	1.41263	1.17667	0.600973	0.705864	1.94983	1.72656	1.2079	1.42127	1.31239	0.575188	0.281033	0.991669	1.64904	1.05614	-0.05061	-0.0861861	0.878522	1.22763	1.77685	0.762679	0.9154	-0.251812	1.94973	1.61151	1.96876	0.146128	1.14395	0.565848	0.222716
ACPL2	1.75853	0.638489	1.74764	1.80916	1.87274	0.788875	0.974512	1.79602	1.58297	0.840733	1.42911	1.58388	1.34753	1.57657	0.725912	0.928396	1.17319	1.40875	0.767898	1.47828	0.465383	0.396199	1.27045	0.957607	1.80496	1.03822	1.28466	0.588832	1.28758	1.30276	0.945469	0.679428	0.659916	0.687529	0.920123	0.643453	1.25382	0.645422	0.661813	1.2492	0.740363	0.664642	0.586587	1.17464	1.3092	0.860937	1.07298	0.720986	1.5966	0.607455	1.19535	1.31471	1.51415	0.760422	0.91698	0.741939	1.29842	1.28421	0.555094	0.737987
EFHB	1.3189	0.952792	1.40654	2.02416	1.3995	1.75059	1.29003	0.0569049	0.367356	1.3543	0.788875	0.594393	0.614897	0.049218	0.198657	0.683047	0.294466	-0.154902	0.495544	0.367356	1.23553	0.953276	1.09587	-0.283997	0.469822	0.0827854	-0.29243	0.404834	0.0253059	1.00432	1.27692	-0.318759	0.278754	0.491362	0.313867	-0.148742	0.198657	0.945469	0.419956	0.143015	1.16524	0.0211893	0.00860017	0.451786	1.20303	0.673942	0.184691	0.740363	0.668386	-0.154902	0.399674	0.064458	1.0461	1.52789	0.656098	0.320146	-0.09691	0.507856	1.02202	1.94488
FLJ37035	1.61836	1.53945	1.4524	0.956649	1.3483	0.488551	1.55169	1.53744	1.82033	1.60821	1.08493	1.35717	1.59229	1.50161	1.73432	1.736	1.79449	1.36342	1.24005	1.17493	1.63114	1.53071	1.00087	1.67293	1.86469	1.86729	0.945961	1.59483	1.3831	1.27784	1.0141	1.31765	1.43996	1.91487	0.856124	1.21958	1.27898	0.875061	1.31994	1.56632	1.02938	1.59616	1.15351	1.67733	1.47741	0.996949	1.16286	1.30449	1.90832	1.04454	0.592177	0.660865	1.6192	1.12156	0.794488	1.70449	1.27184	0.936011	0.935507	1.8848
RSU1	1.82536	1.63669	1.27577	1.44436	1.82445	1.00475	1.46568	1.41095	1.30578	1.07846	1.38039	1.60217	1.29491	1.62716	0.955688	1.79678	1.6131	0.884795	1.55991	1.50051	1.44948	0.982723	1.58861	1.47842	1.1345	0.926342	1.42472	1.61648	1.71825	1.65475	1.01115	1.62655	0.599883	1.8386	1.39375	0.495544	1.35813	0.85248	1.5731	1.69099	0.819544	1.93059	1.1176	1.27277	1.86481	0.816241	1.0983	1.32736	2.03334	1.43886	0.775974	1.31639	1.28646	1.45071	1.81064	1.48015	1.21032	1.04297	1.27184	0.670246
ADK	0.896526	0.854913	0.332438	0.372912	0.764176	1.23502	0.521138	1.0187	0.741152	0.416641	1.44638	0.563481	0.839478	0.716003	0.859138	0.854913	0.705008	0.463893	0	1.22763	1.3075	1.04766	1.5731	-0.0362122	1.47842	0.348305	-0.19382	0.91698	1.25744	1.54555	0.704151	0.94939	0.414973	0.525045	0.416641	0.606381	0.762679	0.41162	0.860338	1.06967	0.768638	0.428135	0.235528	0.235528	1.18808	1.04297	0.283301	0.690196	0.80956	0.824126	1.35044	0.606381	1.01072	0.655138	1.32428	0.704151	0.431364	0.909556	0.716838	0.965672
LYPLAL1	1.05881	0.645422	1.60906	1.40209	0.635484	1.49996	1.49996	0.31597	1.86682	0.627366	1.47276	2.0735	1.67742	1.07335	1.3294	1.63679	1.59737	0.835056	1.76193	0.937518	0.96708	1.24944	1.70689	1.76027	1.70105	0.409933	0.419956	1.31639	0.96895	0.937016	0.730782	1.59671	1.23629	1.37346	0.454845	1.28421	1.19756	1.47669	1.45894	1.26975	0.883093	1.43377	1.53453	1.37291	1.33445	1.54741	1.23805	0.858537	1.70995	1.44358	1.36773	1.63929	1.65321	0.673021	1.3694	0.663701	1.5563	0.281033	0.862131	0.650308
CTTNBP2NL	1.35141	1.07298	1.62829	1.92117	1.19005	1.87309	1.10278	1.99251	0.944483	1.19396	1.36173	0.935507	1.05729	1.43712	1.01787	1.11694	2.0876	1.40054	1.77004	1.06446	0.863917	1.32552	1.00087	0.85248	1.99817	1.21299	1.306	1.81178	1.11494	2.08721	1.19535	1.97982	0.972203	1.36116	1.80652	1.64335	0.915927	0.990339	1.65167	1.14675	0.913284	2.06468	1.73695	0.947924	1.34025	2.16676	1.33786	0.855519	1.21564	0.908485	1.42846	1.05269	0.988559	1.04766	1.9433	0.869232	1.95564	1.16643	1.27531	1.94468
GPR155	0.247973	1.35984	-0.283997	1.11126	0.874482	0.262451	0.0293838	0.354108	0.591065	0.498311	0.658965	0.075547	0.457882	1.52414	0.762679	0.58995	0.669317	0.41162	-0.148742	0.675778	1.3822	1.09026	1.57043	1.57461	1.50215	1.38721	0.143015	1.19145	1.51772	0.303196	-0.60206	1.06296	0.859138	1.03181	1.05269	0.383815	0.0293838	0.951823	-0.130768	-0.0315171	0.155336	1.2572	1.02898	0.63749	1.12156	1.31848	0.994757	0.136721	1.43265	0.292256	1.39058	1.30298	1.38846	1.68052	0.586587	0.739572	1.19173	0.680336	0.209515	0.380211
ST8SIA2	1.08243	0.896526	0.919078	1.92526	1.60959	1.88298	1.15806	1.66295	1.37254	0.704151	0.755875	1.51014	1.5904	1.49332	1.73127	1.80277	1.57944	1.55871	0.614897	1.99726	0.541579	1.81915	1.79014	1.96858	1.26269	1.57944	0.646404	0.710117	0.912753	1.01787	0.733999	1.55473	1.77225	1.15987	1.78597	0.773786	0.817565	1.44389	0.950365	1.06633	1.64856	1.78347	0.984527	1.62211	1.4484	1.48657	1.63296	1.37383	1.72575	0.725912	1.95622	1.48216	1.39428	1.65667	0.960471	1.66247	1.60358	1.52543	0.939519	1.84161
PQLC2	1.30471	1.51388	0.369216	1.52009	0.357935	0.274158	0.572872	0.729974	0.303196	0.285557	0.665581	0.318063	0.390935	1.53567	1.1014	1.13704	0.344392	1.33425	0.252853	1.03222	1.5302	0.201397	0.217484	0.278754	0.546543	0.534026	1.15836	1.30146	1.45606	0.371068	1.26174	0.0681859	0.564666	0.92993	0.729165	0.437751	0.136721	0.958564	0.187521	0.232996	0.190332	0.372912	0.206826	0.450249	1.05538	0.670246	0.607455	0.376577	1.44716	0.287802	0.987666	0.559907	0.651278	0.243038	0.431364	0.598791	0.478566	0.728354	0.959518	0.611723
HS3ST6	0.786751	1.64758	1.69117	1.73456	1.67164	0.704151	0.684845	1.40858	0.510545	0.98945	0.872739	0.587711	0.860338	1.49886	1.5617	1.60627	1.46967	0.984977	0.992554	1.70535	1.4609	1.42423	1.67025	1.45803	0.901458	1.1186	1.24773	1.19368	0.728354	1.48187	0.658011	1.12743	1.58229	0.575188	1.00518	1.0569	0.70757	1.33264	1.12418	1.77335	1.43313	1.76834	0.635484	1.44311	1.51481	1.34124	0.489958	1.18526	0.679428	0.390935	1.26387	0.921686	1.47363	1.66389	1.88666	0.641474	1.67043	1.18441	1.38112	0.651278
M-RIP	1.42243	2.05204	1.98327	1.31931	1.49178	1.35218	1.20222	1.27623	0.870404	1.51495	1.29358	1.09517	1.19451	1.25066	2.15812	2.12924	1.88846	2.22935	1.20003	1.18949	1.20493	1.37291	1.37033	1.24895	1.55907	1.3742	1.1726	1.2159	1.75929	2.38313	2.00402	1.88807	2.20723	1.44623	1.16732	2.11836	1.55509	2.28337	1.32408	2.26285	0.931966	1.15715	1.96071	1.7464	1.59218	0.812913	1.31618	1.19033	1.48116	2.29252	2.05431	2.27284	1.37639	1.12872	1.99423	2.05496	1.43917	1.20493	1.15351	1.32919
FLJ14712	0.810904	0.962369	1.22531	0.883661	0.556303	1.21032	1.54667	1.19562	1.50297	0.802089	0.672098	1.89226	1.62263	1.62335	1.51068	1.68169	1.05994	0.675778	1.3653	1.7471	2.38677	0.822822	0.978181	1.22246	0.982271	1.4624	1.08135	0.653213	0.977724	1.57646	0.567026	0.841359	1.74656	0.794488	1.70234	1.33163	1.28171	1.10449	1.10415	1.64345	1.49651	0.49276	1.72255	0.619093	1.13988	1.2408	1.12581	0.513218	1.29754	1.46045	1.71634	1.28012	1.96914	1.52699	1.85052	1.07809	1.73512	1.76335	1.26694	0.721811
LRRFIP2	0.941511	1.09061	1.67164	1.78039	1.60282	1.48911	1.60141	0.546543	0.451786	1.77779	1.14675	1.57507	0.608526	1.65137	1.18611	1.5027	0.812245	1.68332	1.68673	0.562293	1.16316	1.35488	1.18949	1.13956	0.865104	1.32449	1.41814	1.48073	1.22505	0.871573	1.68422	1.69618	1.49679	0.409933	1.55811	1.07188	1.79664	1.59351	1.62024	1.77495	1.50664	1.85352	1.85974	1.36455	1.85649	0.587711	1.7464	1.68842	0.740363	0.912753	1.53593	1.58092	0.883093	1.17725	1.80638	0.761176	1.43902	0.654177	0.751279	1.63518
ECHDC3	1.11361	2.35261	2.09899	1.32035	1.79253	1.2492	1.856	1.80889	2.36451	2.14737	1.45637	1.76313	1.24254	1.39846	1.2388	2.16776	1.84831	1.72452	1.48615	1.88474	2.22866	1.19893	1.16643	1.85944	0.83187	2.36126	2.02873	1.48686	1.21219	1.44623	2.08052	1.92881	1.19005	1.46135	1.97155	1.91196	1.5506	1.86958	1.83696	1.54058	1.49693	2.11039	1.05538	1.717	1.59417	2.19126	1.97791	2.06427	2.02743	1.72925	1.64816	1.65447	0.893207	1.6816	1.74601	1.9184	1.86118	2.159	1.95554	1.89376
ABHD7	0.992111	1.42029	0.698101	1.60949	0.725912	1.38274	0.532754	2.08579	1.56937	0.38739	1.09167	1.75458	1.90499	0.867467	1.06893	1.98245	1.35199	1.48841	1.82302	2.18327	0.701568	1.12743	0.950365	0.79796	0.921166	2.24321	1.07115	-0.0861861	1.88818	1.76842	0.49276	1.73608	2.1593	0.738781	1.4143	2.18344	2.17609	1.80699	1.7068	1.46613	1.37712	1.62273	1.64395	2.02518	1.40637	1.54605	0.562293	1.80943	1.95914	0.61066	1.75274	0.79796	0.526339	1.95357	1.70783	1.36736	2.06543	1.46805	1.31994	1.93692
PCAF	1.49234	1.78254	1.62469	1.82112	0.30963	0.281033	1.72214	1.55823	1.68305	1.42259	1.59318	1.37511	1.48216	1.53908	1.46359	1.58737	1.44824	1.29754	1.59494	0.997386	1.31681	1.02653	2.04953	1.61951	1.52634	1.22943	1.67302	1.60043	1.45834	1.44809	1.39041	1.40637	1.1685	1.35199	1.44389	1.57623	1.3995	1.35583	1.46613	0.10721	1.22712	1.12905	1.49582	1.47625	1.27715	1.43249	1.76403	1.64306	1.28713	1.55206	1.71088	1.56467	0.611723	1.21085	1.80079	0.468347	1.63296	1.51308	1.39985	1.48615
TGFBR1	1.42439	0.511883	1.21059	0.644439	0.50515	1.04883	1.38417	-0.0132283	0.783904	0.683947	0.396199	1.09272	0.690196	1.22479	0.0934217	1.16879	1.21325	-0.05061	0.170262	0.537819	0.874482	0.10721	0.70757	1.24944	1.56538	0.906874	0.583199	0.884795	-0.05061	0.190332	1.18949	0.656098	0.814248	1.33001	0.886491	0.0253059	1.21985	-0.408935	0.267172	0.367356	0.659916	0.445604	1.25406	0.212188	1.73344	0.847573	1.37931	0.214844	0.434569	1.16376	1.32428	1.47972	1.3092	1.22063	1.68151	0.305351	0.679428	1.1532	0.584331	0.451786
ZNF395	0.706718	1.3694	1.56182	0.372912	1.85107	0.888741	0.977266	1.62242	1.59262	1.273	1.65782	0.528917	1.69775	0.426511	1.1313	1.62128	1.3543	1.32098	1.64591	0.868644	1.05423	1.34869	0.795185	1.64078	0.689309	1.34792	1.16256	1.06893	1.34459	0.776701	1.0406	1.75351	1.52879	1.21192	1.49914	1.50569	1.6917	1.77988	1.56301	1.75496	1.2266	2.0177	1.49122	1.59273	1.72835	1.17551	1.52866	1.56038	1.76945	1.35083	1.51415	1.69784	2.19181	1.65398	1.69914	1.21032	1.55133	1.44217	1.05614	1.59329
C9ORF85	-0.0222764	0.212188	1.20085	-0.00436481	1.01828	-0.187087	-0.113509	-0.585027	0.340444	0.30103	0.571709	-0.481486	0.0934217	0.522444	0.868056	0.103804	0.326336	1.2052	0.212188	0.0934217	0.606381	0.0681859	0.320146	0.96895	1.23704	-0.346787	-0.0555173	0.146128	-0.236572	-0.327902	-0.366532	1.26411	-0.200659	0.127105	-0.0132283	0.348305	0.889862	1.2403	0.803457	-0.221849	-0.187087	-0.309804	0.348305	0.765669	1.06183	0.973128	0.853698	0.187521	1.58794	-0.207608	0.25042	-0.30103	0.434569	0.950365	1.4014	-0.119186	-0.29243	1.08529	1.22608	-0.431798
